,id,status_group
47607,37942,functional needs repair
37354,31548,functional
3774,2950,functional
15076,14743,non functional
55840,8741,functional
852,13555,non functional
31049,30209,functional
18247,65760,functional
50885,12179,functional
48657,38008,functional
29041,54160,functional
21114,58937,functional
41868,12901,non functional
38212,59492,functional needs repair
4815,71788,non functional
36115,7213,non functional
36039,70832,non functional
24114,73976,non functional
1131,74085,functional
59324,748,functional
56709,23070,functional needs repair
46527,14983,functional
28459,45046,functional
25143,182,functional
45542,16610,functional
34829,39087,functional
19346,38735,functional
40369,57565,non functional
4884,28523,functional
9481,39188,functional
47008,33723,functional
14914,70046,non functional
44031,51911,non functional
21321,39835,non functional
24502,63850,non functional
29664,33259,functional
8336,57160,functional
34553,27301,non functional
20123,22754,non functional
50396,68597,functional
52660,49161,functional
25508,65430,functional
17281,50167,functional
11882,66222,functional
1559,60330,functional
44617,14879,functional
47104,64274,functional
14827,61032,non functional
26632,51623,functional
36642,53516,functional
2781,65456,functional
38046,56267,functional needs repair
36455,49284,functional
22227,8799,non functional
17009,6865,functional
46672,54814,non functional
37035,16620,non functional
53030,71924,non functional
29290,33296,functional
26578,20719,non functional
43189,23945,functional
55519,42144,functional
28743,53423,functional
3911,25740,non functional
28934,22856,non functional
11870,40560,functional
35490,40481,functional
34007,32680,functional
50687,70337,non functional
15670,43671,functional
57104,48383,non functional
19106,59533,functional
50362,27214,functional
12790,64112,non functional
52172,1336,functional
35503,31600,functional
33651,18958,functional
35488,59610,functional
13548,66545,non functional
51032,57247,non functional
21735,6722,functional
24422,41928,functional
5388,61925,non functional
5394,48694,functional
5733,66199,functional needs repair
25962,51074,non functional
50077,56629,non functional
49408,35521,functional
25099,69105,non functional
25198,27821,non functional
24286,11318,functional
49405,44234,functional
9142,69429,functional
24962,37861,non functional
11107,28240,functional
4292,26437,functional
11637,14649,functional
58572,69472,functional needs repair
11012,69453,functional
56696,37250,functional
43159,58603,functional
23080,73672,non functional
17656,14228,functional
17793,2144,non functional
24609,6187,functional
41919,64100,functional needs repair
58383,58125,functional
7829,30679,functional
31680,11144,non functional
38431,41679,non functional
55996,48034,functional
44079,62545,non functional
14045,14456,non functional
47897,16546,functional
51871,17872,functional
49165,74239,non functional
15259,36616,functional
558,41174,functional
24087,23971,non functional
34447,41670,functional
42444,61691,functional
14980,34309,functional
46184,23287,non functional
48581,40239,functional
51,19308,non functional
25573,34069,functional
32012,36710,functional
26678,2598,non functional
48089,67505,functional
36550,21474,functional
22981,59121,non functional
40744,3224,functional
29687,67438,non functional
36771,40827,non functional
300,62565,functional
49831,73616,functional
34031,48893,functional
33049,3278,non functional
41482,18745,non functional
50589,43214,functional
39707,73020,functional
40255,4265,non functional
57633,59012,functional
58998,61512,non functional
17547,40671,functional
26307,22505,functional needs repair
7771,30103,functional
14160,12396,non functional
19299,8322,non functional
26328,2728,functional needs repair
18748,56476,non functional
58105,57652,non functional
25833,2732,functional
21442,63849,functional
11762,6302,non functional
20470,41466,non functional
18871,72268,non functional
44395,761,functional
23574,12155,functional
52109,7207,functional
32871,312,functional
37410,60582,functional
50218,67043,functional
25166,21126,non functional
57585,31060,functional
38423,49922,non functional
39966,43774,functional
32258,39002,functional
49646,62136,functional
35049,31237,functional
13250,43509,functional
13019,63168,non functional
41247,44093,functional
48263,54162,functional
39736,26513,functional
514,6387,functional
25859,43928,non functional
30025,43569,functional needs repair
52280,40437,non functional
21642,45065,functional
36265,55218,non functional
10331,16014,non functional
22013,325,functional
21026,27988,functional
49411,58813,non functional
21486,7096,non functional
56517,44080,non functional
56218,34374,non functional
2805,42023,non functional
35216,7386,functional
10499,33125,non functional
3263,72770,functional
53663,18960,non functional
47153,37487,functional
47436,27042,functional
26788,46181,functional
22900,37558,non functional
46961,66594,functional
44238,10308,functional
59154,21556,functional
14223,38032,functional
37252,5292,functional
13512,22732,non functional
22826,8091,functional
30469,61398,non functional
53874,44829,functional
14890,73663,functional
32948,70279,functional
4401,6397,functional needs repair
41399,17725,non functional
56564,54503,functional
30463,46864,non functional
46885,61967,functional
56444,31492,functional needs repair
38627,3713,non functional
13949,48978,functional
48539,52084,non functional
50625,18231,non functional
23768,53931,non functional
4891,56551,non functional
15556,44041,functional
40875,37689,non functional
20991,68105,functional
33820,32217,functional
9818,59348,functional
27042,41274,non functional
36404,73114,functional
47819,40003,functional
20862,30120,functional
27804,49060,non functional
18317,38480,functional
4255,52470,functional
37308,60300,non functional
10326,14918,functional
10064,72171,non functional
46365,70049,functional
17914,46174,functional
32338,73191,non functional
25280,47828,functional needs repair
5906,53030,functional
24939,16662,functional
21078,27629,non functional
9965,36635,functional
30991,41577,non functional
12603,21811,functional
8739,20579,functional
29798,7212,non functional
39465,71949,functional needs repair
21337,13775,functional
23514,65185,functional
42746,24044,functional needs repair
52814,46846,non functional
4572,37028,non functional
11045,1108,non functional
56207,13213,non functional
58932,69950,functional
32890,7687,functional
15278,12357,non functional
17158,14965,non functional
23154,51695,functional
41302,70831,functional
58009,58780,functional
18671,51213,functional
48761,52889,functional
57715,15352,functional needs repair
6524,72011,non functional
3019,45936,functional
1126,68054,non functional
3465,50661,non functional
16716,72378,non functional
27892,1190,non functional
54880,34136,functional
49856,54931,non functional
53593,21304,functional
41162,55198,functional
47411,53843,functional
4818,32585,non functional
26434,64560,non functional
194,4807,functional
50196,25691,functional
28924,71338,non functional
49224,61414,functional
35837,27043,functional
44199,69361,non functional
11596,52270,functional
13031,2480,functional
48417,57754,non functional
44,1843,functional needs repair
36211,14559,non functional
27289,33968,non functional
24324,27562,functional
29636,22702,functional needs repair
54874,30967,functional
5965,56286,non functional
50912,70859,functional
13113,71602,functional
51755,13351,non functional
10745,20162,functional
6243,9468,functional
4909,11819,functional
18249,20161,non functional
58055,71284,functional
50301,19712,functional
12302,45485,functional
571,70584,functional
49342,31243,non functional
54353,3118,non functional
53954,2145,functional
31426,47961,non functional
49261,6811,non functional
54989,30996,non functional
45268,31602,non functional
30255,7898,non functional
38140,54860,non functional
30337,2267,functional
34773,61567,non functional
43801,42762,functional
41038,21671,functional
10355,46247,functional
3529,21962,non functional
27171,5952,non functional
36611,56481,functional
21547,68728,functional
25207,53288,functional
57055,32340,functional
36992,21444,non functional
56822,58220,functional
10643,2029,non functional
46315,34552,non functional
34487,38767,functional
4959,67661,functional
10670,67520,functional
30555,69330,functional
22307,2851,non functional
39577,56473,non functional
29186,67816,functional
58878,7944,functional
45189,6697,functional
31025,5960,functional
54948,71137,functional
16330,23430,non functional
20849,21865,functional
3815,66389,functional
17934,41714,non functional
54159,33393,non functional
8153,19734,functional
18730,41424,functional
38261,48036,functional
1954,71463,functional
19512,3397,functional
55320,16867,functional
3760,10121,non functional
11304,7358,functional needs repair
30126,24208,non functional
54308,5938,functional
27186,17437,functional
2991,8685,functional
5805,36205,non functional
5861,29708,functional
49269,58561,functional
44033,54571,functional needs repair
9277,59476,functional
52492,27153,non functional
30396,72891,non functional
24216,62819,functional
41219,73488,non functional
20474,2172,non functional
52428,52097,functional needs repair
28047,56307,functional
36998,41082,functional needs repair
1102,24198,non functional
34411,57191,functional
25091,41002,functional
18472,20992,non functional
52103,73300,functional
4399,73236,functional
39722,64176,functional
7969,1659,functional
41272,39664,functional needs repair
44044,21976,non functional
31151,542,functional
1213,9770,non functional
37859,18794,functional
20745,53818,functional
27708,51453,non functional
21494,59455,non functional
22034,11852,functional
37961,58967,functional
1566,21602,non functional
52264,2310,functional
46569,52941,functional
55656,47338,non functional
18008,20805,non functional
7410,3922,functional
5539,58646,functional
38050,42092,functional
50833,27233,functional
58866,32762,functional
59278,62508,non functional
10231,60690,functional
47430,56581,functional
7355,41993,functional
27056,49800,functional
48477,27021,functional
33393,55868,functional
41798,33273,functional
4897,50627,functional needs repair
46981,62906,non functional
41837,55750,functional needs repair
31145,40497,functional
49787,43884,functional
58437,66590,non functional
4277,61409,non functional
29157,25265,functional needs repair
12148,59407,functional
16621,63900,non functional
2442,16692,functional
39295,64428,non functional
775,45744,functional needs repair
51186,59225,functional
20311,69504,functional
37378,14231,non functional
55591,30192,functional
21057,32822,non functional
50259,40644,non functional
22511,58540,non functional
53557,10297,non functional
533,5947,functional
48594,22116,non functional
3620,67178,non functional
41039,51101,non functional
13822,8942,functional
58282,53004,non functional
56286,24101,non functional
55430,45891,functional needs repair
55198,20231,functional
16079,44557,non functional
23844,57387,functional needs repair
15710,57696,functional
1944,70247,non functional
42330,49445,non functional
11303,70500,functional
23014,63230,non functional
43329,29084,functional
47466,65571,non functional
36779,2904,functional
26600,73450,non functional
39914,70974,non functional
51873,64417,non functional
41254,26474,functional
39310,63308,functional
56435,34821,non functional
34508,49997,non functional
52477,36743,functional
51554,45014,non functional
58172,50156,functional
44235,72688,functional
8195,45448,functional
23881,26789,functional needs repair
10518,54905,functional
12867,63616,non functional
37849,15488,functional
35518,71933,non functional
29550,60037,non functional
5463,26658,functional
45470,7737,functional
738,42959,functional needs repair
45604,64788,functional
15388,45379,functional
34137,851,functional
8651,28200,functional
23869,39572,functional needs repair
21233,64682,functional
22813,61542,functional needs repair
6180,52462,functional
50547,15312,functional
10947,16784,non functional
19828,21051,functional
53641,41877,functional
14551,66717,functional needs repair
9857,34458,functional
18394,38231,functional
56220,54074,functional needs repair
19246,29219,functional
34767,63048,functional
59170,52138,non functional
2133,20752,functional
47863,35263,non functional
1866,6088,non functional
8701,27955,functional
29894,9186,non functional
6286,16182,functional
41609,69762,functional
2926,49,functional
58644,42741,functional
29994,36396,functional
12848,5751,functional
42549,71603,non functional
26853,47672,non functional
1762,47958,non functional
9113,26974,functional
29612,15094,functional
33241,30023,non functional
46063,55095,functional
20139,62674,non functional
33524,22167,non functional
40932,72297,functional
42826,73828,functional
11530,65428,functional
49287,15533,functional
42744,23806,non functional
1259,65763,functional
36928,12785,functional
6193,26213,functional
15930,42828,functional
25524,10517,functional
18705,52425,functional
15815,65889,functional
48455,7675,functional
43611,13976,non functional
8604,55885,functional
13195,23940,functional needs repair
42911,29022,non functional
43443,46303,functional
31847,59672,non functional
21250,46578,functional
36413,59330,functional
58040,10778,non functional
15695,21751,non functional
17962,6532,non functional
41066,70792,non functional
56434,48797,functional
17531,14614,non functional
12609,34006,functional
42947,10848,functional
34960,56839,functional
41211,6435,functional
3056,64219,non functional
51431,69284,functional
48376,34659,non functional
9761,65184,non functional
8475,10302,functional needs repair
45741,5385,functional needs repair
44842,39100,functional
18301,60047,functional
24125,62280,non functional
8213,73586,functional
16352,52996,non functional
17790,3684,non functional
35969,61933,functional
22257,32084,functional needs repair
9553,44730,non functional
53434,33216,functional
56856,25497,functional
51429,13766,functional
17073,40760,non functional
24515,65330,non functional
45695,39557,non functional
29390,24504,functional
46361,60296,functional
44359,55751,non functional
32132,22879,functional
36724,48356,non functional
57056,50422,functional
3694,15777,functional
29089,67919,functional
16350,2659,non functional
47719,69368,functional needs repair
24250,39954,functional
12308,19006,functional
54295,45055,non functional
41527,62159,functional
27217,22424,functional
5924,1918,functional
43577,34063,non functional
6125,12273,non functional
7517,15758,non functional
21231,17672,functional
16695,71496,functional
30650,60611,non functional
51129,40639,functional needs repair
21803,16530,functional
45445,25067,functional
26569,2238,non functional
52784,52365,functional needs repair
53622,44007,non functional
23745,14873,non functional
2531,63344,non functional
744,25766,non functional
29762,47482,functional
53291,1235,non functional
8529,71156,functional
31757,41738,non functional
4830,21301,functional
4838,62799,non functional
14225,72187,functional
52465,52252,functional
59349,54026,non functional
44816,29856,non functional
13117,3467,functional needs repair
46022,38785,functional
16231,32078,non functional
14230,2810,functional
43643,30142,functional
22229,38408,non functional
35017,4231,functional
44276,11157,non functional
35015,26828,functional
27477,43094,functional
49721,23680,non functional
58546,54742,functional
16846,70346,functional
56000,17832,functional
35769,65223,functional
45837,23120,functional needs repair
15438,6959,functional
36345,15893,non functional
24254,47146,functional
50348,32676,non functional
24926,53941,functional needs repair
16599,69788,functional
6171,68590,non functional
4608,33978,non functional
25056,37409,functional needs repair
26023,13561,functional
24064,60585,non functional
6276,5209,functional
8353,10063,functional needs repair
18652,51170,functional
5324,15431,functional
7723,60025,non functional
51524,46759,functional
7831,12361,non functional
8444,43565,functional
3282,24779,non functional
14654,6193,non functional
787,11497,non functional
31377,4223,non functional
33558,1314,non functional
27905,26211,non functional
50799,22276,non functional
12874,64168,non functional
32334,47239,non functional
43750,5303,non functional
17348,58362,functional needs repair
41248,37106,non functional
30634,65767,non functional
52987,49241,functional
23747,59860,functional
3709,40985,non functional
23785,57056,non functional
652,38763,functional
36306,34467,functional
35504,30305,functional
45098,669,functional
31815,53700,non functional
39835,42809,functional
23159,39367,non functional
30233,40284,non functional
3118,7811,functional
30893,48324,non functional
41983,24921,non functional
28782,30022,non functional
44110,35466,non functional
21098,2217,non functional
37941,63909,functional
6589,31955,non functional
2387,3864,non functional
26650,68557,functional
53053,21489,non functional
3125,60838,functional
7519,49980,functional
1427,7856,non functional
26250,41459,functional
33008,4464,functional
21991,61844,non functional
59207,39049,functional
21949,43256,non functional
14554,51658,non functional
29570,30646,functional
15845,63383,non functional
17974,68156,functional
38718,18901,functional
19330,1698,non functional
56700,6265,functional needs repair
23364,43607,functional
18783,46995,non functional
48016,10270,functional
22898,72807,functional
21097,67886,functional
6824,44138,non functional
10631,33010,functional
16698,74061,non functional
24243,23919,functional
2654,40947,non functional
44293,66093,functional
7436,1824,functional needs repair
17984,53805,non functional
25081,60917,functional needs repair
37037,15041,non functional
36209,32236,functional
37235,59829,functional
32278,38444,functional
6856,46130,functional
8041,36893,functional
8277,22259,functional
2419,36007,non functional
38065,12180,non functional
53321,54506,non functional
52221,43044,non functional
57015,22707,non functional
5697,560,functional
40793,9560,functional
2887,58202,non functional
36462,6741,non functional
42147,2525,functional needs repair
10546,7295,non functional
9636,20869,non functional
46577,59804,non functional
22807,20234,functional
41074,14207,non functional
58842,30715,functional
11194,9946,non functional
44400,45795,functional
30952,30064,functional
57179,36394,non functional
10871,28877,functional needs repair
18926,19826,functional
25762,36897,functional
8783,23730,non functional
33803,70416,non functional
28755,54517,functional
15899,2263,functional
24417,151,functional
15353,37167,functional
32105,29018,non functional
55680,42090,non functional
54785,34127,non functional
16930,69735,functional
31615,5187,functional
38390,61904,non functional
37110,10243,non functional
48758,28825,non functional
7352,73583,functional
10906,27666,functional
14085,60558,non functional
23426,38992,functional needs repair
22599,7832,functional
39652,57404,non functional
25234,69321,non functional
14248,32242,functional
10377,44333,non functional
11851,65258,functional
44964,46468,non functional
41012,61566,functional
52757,25440,non functional
25438,48740,functional
2463,21788,functional
15163,61199,functional
49185,18695,functional
51244,45684,functional
17450,53599,non functional
35683,34338,functional
34834,38011,non functional
39241,31782,functional
7946,68615,non functional
32139,46970,functional
56672,4209,non functional
31973,51702,functional
44362,8717,functional needs repair
31183,11510,non functional
3489,45578,non functional
46865,52608,non functional
14296,48342,functional
51166,5395,functional
37107,18297,functional
37593,70749,non functional
21581,68390,functional
13954,3275,non functional
53041,62782,functional
40266,54155,functional
53475,49392,non functional
20950,71036,functional
24218,72186,functional
59172,22098,functional
19097,16956,functional
3369,63830,functional
4907,65445,functional needs repair
36552,63425,functional
23239,71351,non functional
55878,34052,non functional
33628,4647,functional
41148,10659,functional
37030,39487,functional
41990,47214,functional needs repair
28273,25457,functional
39960,53456,functional
44271,68275,functional
55268,34712,non functional
55077,63144,functional
31441,44522,functional needs repair
36437,60315,non functional
55995,45240,non functional
12602,68888,functional
1182,11549,non functional
34586,31449,non functional
11979,65580,functional
14817,29911,non functional
22557,23949,functional
1415,24803,functional
11785,47292,functional
34833,9298,functional
58001,38738,non functional
46608,9664,non functional
22350,43873,functional
4114,13136,non functional
14773,42925,functional
33608,23915,functional
32982,39394,functional
19446,34619,non functional
42117,39101,non functional
8983,43574,non functional
1222,40847,non functional
18607,17225,functional
36778,13532,functional needs repair
39049,72130,functional needs repair
9697,3950,functional
29019,71741,functional
18463,47299,functional
38894,1930,functional
39034,59060,functional
45732,69336,non functional
16457,57300,non functional
57840,10896,non functional
21386,18703,non functional
29263,38190,functional
37160,62644,non functional
14680,48340,functional needs repair
17837,70710,non functional
5391,51316,non functional
507,61994,functional
603,45889,non functional
13481,6873,functional
36608,63195,functional
57528,70419,functional
29413,67695,functional
31080,67038,non functional
52512,57579,non functional
23503,24359,functional
2183,47199,functional
52756,1423,functional
15983,59521,functional
55008,3851,functional
14785,15917,non functional
4552,60442,functional
45941,35120,non functional
20830,19352,non functional
35377,37055,non functional
39667,59156,functional
52388,60689,functional
55426,49912,functional
59042,40943,functional
35455,63334,non functional
56889,13506,functional
7389,46901,functional
25533,42801,non functional
17581,42614,non functional
55269,72962,functional
21625,6434,non functional
12204,32956,functional
13184,52942,functional
28258,48255,functional
17947,10145,non functional
31596,38963,non functional
28272,70851,functional
53157,35947,functional
17509,58602,functional
25661,62314,functional
58611,42154,functional
35278,29515,functional
57182,59585,functional
57311,73763,functional needs repair
47333,45430,functional
50946,57663,functional
34800,14739,functional
28150,57549,functional
10988,53988,non functional
45110,53118,functional
23516,10111,functional
43101,6019,functional
2097,21511,non functional
1086,4674,non functional
12633,40680,non functional
29759,2577,functional
18602,68695,functional
39896,43422,functional
29556,43759,non functional
55827,74073,functional
6473,32872,functional
15944,22199,functional
36496,74075,non functional
12058,16184,functional
30386,30250,functional
14706,61974,non functional
4368,58953,functional
32395,8862,functional
12802,27896,non functional
15148,24214,functional needs repair
31712,59270,non functional
11231,69850,non functional
22616,9108,non functional
17295,52783,non functional
57987,55811,non functional
41720,15027,non functional
19604,39180,non functional
28805,71392,non functional
42349,8240,functional
32564,35531,non functional
22262,46729,functional needs repair
7641,72853,functional
9968,56264,non functional
25624,6301,non functional
14565,26605,functional needs repair
35371,24955,functional
39265,65855,functional
37522,67274,functional
36433,9559,functional
10393,32183,functional
14747,54757,non functional
6633,27232,non functional
37668,55544,functional
45792,32490,non functional
28330,12388,functional needs repair
5147,22068,functional needs repair
18817,65969,functional needs repair
20053,61385,non functional
38660,60489,non functional
34710,57349,functional
31381,61138,functional
193,112,non functional
33441,72955,functional
18457,27692,non functional
16070,66911,functional
56886,7509,functional
265,18832,non functional
55192,14358,functional
11730,5739,functional
50671,45053,functional
4765,71995,non functional
5356,20288,functional
29070,38339,non functional
21020,61299,non functional
10843,52239,non functional
42498,56142,non functional
55964,70534,non functional
3518,51323,non functional
7765,62953,functional
53241,25818,functional
57917,26080,non functional
59211,14187,functional
26907,55399,non functional
36705,25622,functional
3773,44450,non functional
5572,7969,non functional
2889,24592,functional
23332,23401,non functional
7813,58801,functional
590,56386,non functional
15510,26026,non functional
36703,34179,non functional
2674,15398,non functional
51673,14699,non functional
10040,2022,non functional
37616,72235,functional needs repair
8999,17679,functional
20814,19966,non functional
40007,43624,functional
42946,64614,functional needs repair
765,5562,functional
48495,18093,non functional
42598,62588,non functional
48405,72777,non functional
9828,70908,functional
27463,44784,functional
38647,27080,functional
53648,27211,functional
58058,28128,functional
24924,71509,functional
32187,35300,functional
34750,54362,functional
23009,26717,functional
20480,33894,functional
30839,37566,functional
42752,70286,non functional
4381,73670,functional
53300,66380,functional
45131,54857,non functional
4111,70841,functional
49809,69873,functional
12335,58732,functional
3041,54986,non functional
20241,48109,functional
48979,14788,functional
56804,66462,non functional
15509,60211,non functional
43085,24792,non functional
32373,18450,non functional
23984,53787,non functional
34573,32034,functional
7892,53146,functional
52379,31890,non functional
41575,8861,functional
4000,66542,functional
25645,47198,functional needs repair
47830,878,functional
15014,27837,functional
13127,54771,non functional
23868,64448,functional
38216,51565,functional
25835,55633,functional
25830,68020,functional
27075,20085,non functional
7655,46913,functional
44432,1774,non functional
48212,66063,functional
58015,56117,functional needs repair
2141,64735,non functional
2343,4,non functional
29882,52669,non functional
5477,15494,non functional
35937,72104,non functional
11516,30677,functional
50001,655,functional
25397,24913,functional
50327,59128,functional
30589,51941,non functional
58257,58425,functional
19139,10601,functional
53556,48916,non functional
28519,15038,functional
34437,63373,functional
16661,1055,functional needs repair
25328,37703,functional
50969,53153,functional
31413,34932,functional needs repair
45774,35093,non functional
39872,69000,non functional
33356,68272,functional
7342,68407,functional needs repair
40113,17870,non functional
42929,9821,functional
43933,72045,non functional
2975,35827,non functional
19888,19313,non functional
46742,69804,functional
11760,21573,non functional
49090,19580,non functional
3216,42158,functional
49859,23355,functional
23902,16694,functional
37343,22863,functional
28081,50583,functional needs repair
6060,5162,functional
21965,9284,functional
5439,618,functional
50160,6891,functional needs repair
51218,64501,functional
59109,16113,non functional
35162,16441,functional
20983,15514,functional
24709,65667,functional
1351,44200,non functional
12261,68055,functional needs repair
8065,30391,functional
20339,5627,functional
40797,22635,functional
29519,10684,non functional
37380,36120,functional needs repair
5582,71763,functional
25768,68811,functional
8793,11336,non functional
23326,29937,functional
57511,36058,non functional
28988,5016,functional
23251,62357,functional
19941,42581,functional
27752,54984,non functional
3230,72514,functional
41571,59616,functional
53219,51859,non functional
58819,41681,functional
51567,8790,functional
43243,30565,non functional
39361,10739,functional
32324,16781,functional
32591,31084,functional
42159,13257,non functional
29047,24192,functional
44225,11673,functional
33992,15185,non functional
47388,64935,functional
47826,49857,non functional
41913,7204,non functional
31543,43820,non functional
17321,23784,non functional
31174,24465,non functional
12934,31451,non functional
21737,63346,functional needs repair
21044,40469,non functional
52098,66190,functional
52918,34702,non functional
1802,12218,functional
235,72374,non functional
1130,42383,functional
9117,33019,non functional
46694,57136,functional
6985,25679,non functional
52887,33870,functional
16135,7143,functional
18693,72719,non functional
6924,50573,functional
